dipz,charge,casno,squib,state,config,diptot
,0,7783440,NSRDS-NBS10,1,1,1.4400001e+000
,0,7783542,NSRDS-NBS10,1,1,2.3500000e-001
,0,7783553,NSRDS-NBS10,1,1,1.0300000e+000
6.3200003e-001,0,7783600,1962Tol/Gwi:1119,1,1,6.3200003e-001
,0,7783611,NSRDS-NBS10,1,1,0.0000000e+000
,0,7784181,NSRDS-NBS10,1,1,0.0000000e+000
,0,7784216,NSRDS-NBS10,1,1,0.0000000e+000
,0,7784352,NSRDS-NBS10,1,1,2.5899999e+000
,0,7784421,NSRDS-NBS10,1,1,2.0000000e-001
,0,7787522,NSRDS-NBS10,1,1,0.0000000e+000
1.0000000e+000,0,7787715,1957Mag:223,1,1,1.0000000e+000
1.8545001e+000,0,7789200,NISTtriatomic,1,1,1.8545001e+000
8.5583200e+000,0,7789233,NISTdiatomic,1,1,8.5583200e+000
,0,7789244,NISTdiatomic,1,1,6.2840900e+000
,0,7789255,NSRDS-NBS10,1,1,1.8099999e+000
,0,7789302,NSRDS-NBS10,1,1,1.5100000e+000
,0,7789335,NISTDiatomic,1,1,7.3699999e-001
,0,7789608,1954Kis:86,1,1,6.1000001e-001
,0,7790898,NSRDS-NBS10,1,1,8.8000000e-001
,0,7790912,NSRDS-NBS10,1,1,6.0000002e-001
,0,7790923,1974Hel/Hel(II/6),1,1,1.3000000e+000
,0,7791255,NSRDS-NBS10,1,1,1.8099999e+000
,0,7803498,1974Hel/Hel(II/6),1,1,5.8999997e-001
,0,7803512,NSRDS-NBS10,1,1,5.7999998e-001
,0,7803625,NSRDS-NBS10,1,1,0.0000000e+000
,0,10024972,NSRDS-NBS10,1,1,1.6700000e-001
,0,10025782,NSRDS-NBS10,1,1,8.6000001e-001
,0,10026047,NSRDS-NBS10,1,1,0.0000000e+000
,0,10026138,NSRDS-NBS10,1,1,0.0000000e+000
,0,10028156,NSRDS-NBS10,1,1,5.2999997e-001
,0,10034852,webbook,1,1,4.4769999e-001
8.2709998e-001,0,10035106,NISTdiatomic,1,1,8.2709998e-001
,0,10049044,NISTtriatomic,1,1,1.7840000e+000
,0,10097286,NISTdiatomic,1,1,3.0982001e+000
,0,10102439,NSRDS-NBS10,1,1,1.5300000e-001
,0,10102440,NSRDS-NBS10,1,1,3.1600001e-001
,0,10294345,NSRDS-NBS10,1,1,0.0000000e+000
,0,10544726,NSRDS-NBS10,1,1,0.0000000e+000
,0,10544737,1974Hel/Hel(II/6),1,1,2.1220000e+000
3.6000001e-001,0,10545990,1972Mur/Wil:575,1,1,3.6000001e-001
3.4500000e+000,0,12030830,webbook,1,1,3.4500000e+000
,0,12033566,NISTdiatomic,1,1,1.8099999e+000
2.6670001e+000,0,12056290,webbook,1,1,2.6670001e+000
,0,12061700,1992LBII/19c,1,1,4.3000001e-003
,0,12070154,NSRDS-NBS10,1,1,0.0000000e+000
0.0000000e+000,0,12075353,,1,1,0.0000000e+000
,0,12142777,1972Fre/Her:1467,1,1,6.8429999e+000
,0,12185090,NSRDS-NBS10,1,1,0.0000000e+000
,0,12185103,NSRDS-NBS10,1,1,0.0000000e+000
2.8399999e+000,1,12254681,NISTDiatomic,1,1,2.8399999e+000
,0,12333492,1972Gra/Dag:710,1,1,4.6000001e-001
0.0000000e+000,0,12385136,,1,1,0.0000000e+000
,0,12504415,NISTdiatomic,1,1,1.7300000e+000
,0,12597352,NSRDS-NBS10,1,1,0.0000000e+000
,0,13283313,NSRDS-NBS10,1,1,0.0000000e+000
,0,13444901,NSRDS-NBS10,1,1,5.2999997e-001
,0,13465786,NSRDS-NBS10,1,1,1.3099999e+000
,0,13478201,NSRDS-NBS10,1,1,1.7600000e+000
5.7700000e+000,0,13478416,NISTdiatomic,1,1,5.7700000e+000
,0,13517118,1989Kog/Tak:467,1,1,1.3839999e+000
,0,13537332,1992LBII/19c,1,1,1.2969000e+000
1.5300000e+000,0,13595829,NISTdiatomic,1,1,1.5300000e+000
,0,13701672,NSRDS-NBS10,1,1,0.0000000e+000
,0,13709358,NSRDS-NBS10,1,1,1.4500000e+000
,0,13766262,1969Tho/Dal:1155,1,1,1.2700000e+000
,0,13766284,NSRDS-NBS10,1,1,0.0000000e+000
,0,13768600,1971Lov/Joh:41,1,1,5.0000000e-001
,0,13780239,NISTdiatomic,1,1,7.5709999e-001
,0,13812436,NSRDS-NBS10,1,1,1.6000000e-001
1.0500000e+000,0,13814250,NISTtriatomic,1,1,1.0500000e+000
,0,13827322,NSRDS-NBS10,1,1,1.5500000e+000
,0,13840885,NSRDS-NBS10,1,1,0.0000000e+000
5.1899999e-001,0,13863417,NISTdiatomic,1,1,5.1899999e-001
1.4220001e+000,0,13863597,NISTdiatomic,1,1,1.4220001e+000
,0,13940211,NISTdiatomic,1,1,7.5800002e-001
2.6099999e+000,0,13940631,NISTTriatomic,1,1,2.6099999e+000
,0,13965736,NSRDS-NBS10,1,1,0.0000000e+000
,0,13966784,NISTDiatomic,1,1,2.4500000e+000
,0,14034798,NISTtriatomic,1,1,2.2300000e+000
,0,14332286,NISTtriatomic,1,1,1.6700000e+000
,0,14452596,NSRDS-NBS10,1,1,0.0000000e+000
,0,14452609,NSRDS-NBS10,1,1,0.0000000e+000
1.8800000e+000,0,14452665,,1,1,1.8800000e+000
,0,14457853,NISTtriatomic,1,1,1.2980000e+000
,0,14545723,1977Sue/Joh:239,1,1,7.7249998e-001
0.0000000e+000,0,14762948,,1,1,0.0000000e+000
1.7318000e+000,0,14940637,NISTtriatomic,1,1,1.8521000e+000
