Cd,Kr,Cl,Co,Cr,Te,Cu,Pd,Ti,He,Li,Mass,filename,Mg,omit,nval,Mn,B,Mo,C,Hill,D,In,symno,F,Ag,H,I,Al,K,polyatomic,N,O,P,Rb,Ar,As,Na,S,Zn,Nb,V,Rh,Ne,Zr,X,Y,Ni,Jg,Fe,charge,Be,Ru,Sb,Sc,Br,Se,vibs,casno,Si,formula,Ga,Sn,Ca,Ge,Sr
0,0,0,0,0,0,0,0,0,0,0,7.004680000000001e+001,c3h2o2,0,n,26,0,0,0,3,C3H2O2,0,0,1,0,0,2,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,471250,0,H2C3O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.000870000000000e+002,caco3,0,n,24,0,0,0,1,CCaO3,0,0,2,0,0,0,0,0,0,poly,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,471341,0,C1O3Ca1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,8.806596375000000e+001,oxalamide,0,n,34,0,0,0,2,C2H4N2O2,0,0,2,0,0,4,0,0,0,poly,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,471465,0,H4C2N2O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.905072020999999e+001,oxamic,0,n,34,0,0,0,2,C2H3NO3,0,0,1,0,0,3,0,0,0,poly,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,471476,0,H3C2N1O3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7.811363220000000e+001,fulvene,0,n,30,0,0,0,6,C6H6,0,0,2,0,0,6,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,497201,0,H6C6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.810632324000000e+001,c497267,0,n,36,0,0,0,4,C4H8O2,0,0,1,0,0,8,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,497267,0,H8C4O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.409164047000000e+001,c503173,0,n,22,0,0,0,4,C4H6,0,0,6,0,0,6,0,0,0,poly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,503173,0,H6C4,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.808003998000000e+001,oxetane,0,n,24,0,0,0,3,C3H6O,0,0,2,0,0,6,0,0,0,poly,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,503300,0,H6C3O1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7.609532166000000e+001,c504632,0,n,32,0,0,0,3,C3H8O2,0,0,2,0,0,8,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,504632,0,H8C3O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.803179932000001e+001,c3o2,0,n,24,0,0,0,3,C3O2,0,0,2,0,0,0,0,0,0,linear,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,504643,0,C3O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6.803179932000001e+001,c3o2+,0,n,23,0,0,0,3,C3O2,0,0,2,0,0,0,0,0,0,linear,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,504643,0,C3O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.810632324000000e+001,dioxan13,0,n,36,0,0,0,4,C4H8O2,0,0,1,0,0,8,0,0,0,poly,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,505226,0,H8C4O2,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.059200000000000e+002,brcn,0,n,16,0,0,0,1,CBrN,0,0,1,0,0,0,0,0,0,linear,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,506683,0,C1N1Br1,0,0,0,0,0
