A,B,charge,C,symno,casno,SQUIB,state,polyatomic,config
3.665137200000000e-001,8.677319000000000e-002,0,7.910155600000000e-002,,627203,NISThydrocarbon,1,poly,1
,,0,,1,627269,,1,poly,1
,,0,,2,627510,,1,poly,1
,,0,,,628284,,1,poly,1
,,0,,,628295,,1,poly,1
,,0,,,628320,,1,poly,1
,,0,,,628342,,1,poly,1
,,0,,,628411,,1,poly,1
,9.040684405743120e-002,0,,4,629209,2008Kum/Lob:9134,1,poly,1
,1.931280870000000e+000,0,,1,630080,1979HUB/HER,1,linear,1
,1.977047900000000e+000,1,1.977047900000000e+000,1,630080,NISTdiatomic,1,linear,1
,,0,,,630182,,1,poly,1
,,0,,,646048,,1,poly,1
2.610862990000000e-001,2.513225165000000e-001,0,1.432487300000000e-001,2,646060,2003Mel/Mil:227,1,poly,1
,,0,,1,674828,,1,poly,1
1.677540000000000e+000,1.582718900000000e-001,0,1.444228000000000e-001,0,689974,NISThydrocarbon,1,poly,1
,,0,,,693027,,1,poly,1
5.090855000000000e-001,1.021162446980000e-001,0,9.810560344383310e-002,,693867,NISThydrocarbon,1,poly,1
,,0,,,693890,,1,poly,1
,,0,,1,693958,,1,poly,1
,,0,,1,693981,,1,poly,1
,,0,,,694019,,1,poly,1
,,0,,,694053,,1,poly,1
,,0,,,760214,,1,poly,1
,,0,,,764352,,1,poly,1
,,0,,2,764421,,1,poly,1
5.427071000000000e-001,2.242551000000000e-001,0,1.933114000000000e-001,1,765300,1096Hen/Har:700,1,poly,1
,,0,,,765435,,1,poly,1
,,0,,,811938,,1,poly,1
,,0,,,821078,,1,poly,1
4.300602680000000e-001,4.078189918900000e-001,0,2.273662067900000e-001,2,822355,NISThydrocarbon,1,poly,1
,,0,,2,822388,,1,poly,1
,,0,,,822413,,1,poly,1
9.727180000000001e+000,5.903991000000000e-001,0,5.554422000000000e-001,2,865361,1994Clo/Hua:7300,1,poly,1
,8.950125000000000e-002,0,8.950125000000000e-002,,917920,NISThydrocarbon,1,poly,1
,,0,,,922623,,1,poly,1
,,0,,,922690,,1,poly,1
,,0,,,927731,,1,poly,1
3.139118660000000e-001,4.696455038900000e-002,0,4.235373059300000e-002,2,928494,2004Boh:6814,1,poly,1
,,0,,,930267,,1,poly,1
1.873870000000000e+000,3.664000000000000e-001,0,3.664000000000000e-001,3,992949,1996Moa/Ozi:54,1,poly,1
,,0,,,1003038,,1,poly,1
,,0,,,1003049,,1,poly,1
,,0,,,1003107,,1,poly,1
,1.517402382000000e-001,0,1.517402382000000e-001,1,1070719,1977Cre/Win:420,1,linear,1
,,0,,2,1071983,,1,linear,1
3.885675000000000e-001,1.622532000000000e-001,0,1.316487000000000e-001,1,1072431,1963But:2310,1,poly,1
,,0,,,1115157,,1,poly,1
3.459100000000000e-001,1.535890000000000e-001,0,1.155170000000000e-001,1,1120565,1991She/Dor:237,1,poly,1
2.288964000000000e-001,1.570336000000000e-001,0,9.851582000000000e-002,1,1120598,1982Dur/Lit:3849,1,poly,1
,,0,,,1120623,,1,poly,1
,,0,,,1120645,,1,poly,1
,,0,,,1190223,,1,poly,1
,,0,,1,1190767,,1,poly,1
,,0,,,1191088,,1,poly,1
3.597555480000000e-001,1.603339200000000e-001,0,1.186977830000000e-001,2,1191953,1968Sch/Lau:221,1,poly,1
,,0,,1,1191997,,1,poly,1
,1.584700000000000e+000,0,,1,1304569,2007Iri:389,1,linear,1
,4.445000000000000e-001,0,4.445000000000000e-001,1,1305788,1979HUB/HER,1,linear,1
,5.748414000000000e-001,0,,1,1309484,2007Iri:389,1,linear,1
,1.178911312000000e+000,0,,1,1310663,1994McN/Tac:313,1,linear,1
,4.267030000000000e-001,0,,1,1310732,JANAF,1,linear,1
,1.888678030000000e-001,0,,1,1314983,2009Zac/Ziu:213,1,lienar,1
,4.445400000000000e-001,0,4.445400000000000e-001,1,1317380,1979HUB/HER,1,linear,1
,6.085300000000000e+001,0,,2,1333740,1979HUB/HER,1,linear,1
1.020781370000000e+000,2.943197000000000e-001,0,2.278329000000000e-001,2,1396660,NISTtriatomic,1,poly,1
,,0,,,1487156,,1,poly,1
2.994388200000000e+000,3.703528792000000e-001,0,3.290076096000000e-001,1,1493023,1961Mil/Cur:1847,1,poly,1
,3.520500000000000e-001,0,3.520500000000000e-001,1,1495507,Gurvich,1,linear,1
,,0,,,1551219,,1,poly,1
3.933417164210000e-001,1.130189200000000e-001,0,8.913569800000000e-002,1,1574409,NISThydrocarbon,1,poly,1
